"","class","cap.diameter","cap.shape","cap.color","does.bruise.or.bleed","gill.color","stem.height","stem.width","stem.color","has.ring","ring.type","habitat","season"
"26","p",13.2,"x","o","f","w",16.91,16.9,"w","t","p","d","w"
"27","p",13.9,"f","e","f","w",17.81,17.77,"w","t","g","d","u"
"28","p",16.38,"f","o","f","w",18.36,17.99,"w","t","p","d","u"
"29","p",13.3,"x","e","f","w",17.6,17.52,"w","t","p","d","a"
"30","p",15.95,"f","o","f","w",16.42,16.65,"w","t","g","d","w"
"31","p",16.58,"x","o","f","w",18.26,18.12,"w","t","g","d","a"
"32","p",14.1,"f","o","f","w",16.94,16.76,"w","t","p","d","u"
"33","p",13.81,"f","o","f","w",17.22,17.11,"w","t","g","d","a"
"34","p",14.67,"f","o","f","w",17.2,16.77,"w","t","p","d","a"
"35","p",14.23,"f","e","f","w",17.22,17.23,"w","t","p","d","u"
"36","p",14.78,"f","e","f","w",17.44,17.13,"w","t","p","d","u"
"37","p",15.08,"x","e","f","w",17.09,17.8,"w","t","g","d","w"
"38","p",16,"x","e","f","w",16.96,17.22,"w","t","g","d","u"
"39","p",14.76,"f","o","f","w",18.14,17.54,"w","t","p","d","a"
"40","p",14.89,"x","e","f","w",17.78,18.07,"w","t","g","d","w"
"41","p",13.05,"f","e","f","w",17.32,17.17,"w","t","p","d","w"
"42","p",13.03,"f","e","f","w",17.05,17.07,"w","t","p","d","w"
"43","p",14.07,"f","o","f","w",16.98,17.76,"w","t","p","d","w"
"44","p",15.09,"f","o","f","w",17.45,18.15,"w","t","g","d","a"
"45","p",12.22,"f","o","f","w",18.19,17.62,"w","t","g","d","w"
"46","p",15.12,"x","e","f","w",17.03,17.2,"w","t","g","d","a"
"47","p",18.04,"f","e","f","w",18.86,19.79,"w","t","g","d","w"
"48","p",12.27,"f","o","f","w",16.15,17.17,"w","t","g","d","w"
"49","p",16.03,"f","o","f","w",19.34,19.37,"w","t","g","d","u"
"50","p",16.51,"x","o","f","w",18.38,18.29,"w","t","g","d","w"
"51","p",14.96,"f","o","f","w",18.26,18.28,"w","t","p","d","w"
"52","p",15.9,"f","e","f","w",17.34,17.54,"w","t","g","d","w"
"53","p",15.48,"x","e","f","w",19.22,18.14,"w","t","p","d","u"
"54","p",15.63,"f","o","f","w",17.72,16.82,"w","t","g","d","a"
"55","p",14.8,"x","o","f","w",17.94,17.42,"w","t","g","d","w"
"56","p",16,"x","o","f","w",17.67,17.96,"w","t","g","d","w"
"57","p",15.07,"f","o","f","w",16.97,17.51,"w","t","g","d","u"
"58","p",13.12,"x","e","f","w",17.96,17.89,"w","t","p","d","a"
"59","p",13.82,"f","o","f","w",16.86,17.14,"w","t","p","d","u"
"60","p",17.23,"x","e","f","w",18.51,18.59,"w","t","g","d","u"
"61","p",12.57,"x","o","f","w",16.62,15.7,"w","t","p","d","a"
"62","p",14.85,"x","o","f","w",17.36,16.46,"w","t","g","d","a"
"63","p",12.55,"x","e","f","w",16.97,17.39,"w","t","g","d","u"
"64","p",13.53,"x","e","f","w",16.65,16.91,"w","t","g","d","a"
"65","p",16.84,"x","e","f","w",17.3,17.27,"w","t","p","d","w"
"66","p",15.73,"x","o","f","w",17.58,17.59,"w","t","p","d","u"
"67","p",11.46,"x","o","f","w",17.56,18.39,"w","t","g","d","w"
"68","p",15.06,"f","o","f","w",15.77,16.1,"w","t","p","d","w"
"69","p",16.15,"x","e","f","w",18.25,17.67,"w","t","p","d","a"
"70","p",13.78,"f","o","f","w",17.18,17.6,"w","t","g","d","w"
"71","p",16.77,"f","e","f","w",18.81,19.23,"w","t","g","d","u"
"72","p",17.32,"f","o","f","w",17.67,17.83,"w","t","g","d","u"
"73","p",18.65,"x","e","f","w",18.6,19.03,"w","t","p","d","u"
"74","p",14.11,"f","e","f","w",16.87,16.23,"w","t","g","d","u"
"75","p",16.25,"f","o","f","w",17.32,17.6,"w","t","p","d","u"
"76","p",13.59,"x","o","f","w",18.58,18.87,"w","t","p","d","w"
"77","p",17.3,"f","o","f","w",17.39,18.35,"w","t","g","d","u"
"78","p",12.13,"f","e","f","w",16.66,16.62,"w","t","p","d","a"
"79","p",12.29,"x","e","f","w",16.45,15.65,"w","t","p","d","a"
"80","p",14.74,"x","o","f","w",16.8,17.46,"w","t","p","d","w"
"81","p",15.13,"f","e","f","w",17.81,17.24,"w","t","p","d","u"
"82","p",13.66,"f","o","f","w",16.21,16.65,"w","t","g","d","u"
"83","p",13.3,"x","e","f","w",17.75,17.19,"w","t","p","d","w"
"84","p",14.16,"f","o","f","w",15.26,16.19,"w","t","g","d","w"
"85","p",16.66,"x","o","f","w",18.73,18.47,"w","t","p","d","a"
"86","p",15.55,"f","e","f","w",17.03,17.84,"w","t","p","d","a"
"87","p",14.28,"f","e","f","w",17.55,17.58,"w","t","p","d","a"
"88","p",16.92,"x","e","f","w",18.3,18.81,"w","t","g","d","w"
"89","p",15.55,"x","e","f","w",16.75,16.97,"w","t","p","d","w"
"90","p",15.08,"x","o","f","w",17.51,16.82,"w","t","p","d","u"
"91","p",12.02,"f","o","f","w",16.16,16.61,"w","t","p","d","a"
"92","p",13.69,"f","e","f","w",16.58,15.84,"w","t","p","d","u"
"93","p",15.36,"f","o","f","w",17.53,15.97,"w","t","p","d","a"
"94","p",15.22,"f","o","f","w",16.87,17.46,"w","t","p","d","u"
"95","p",15.49,"f","e","f","w",17.45,16.64,"w","t","p","d","a"
"96","p",12.16,"x","e","f","w",17.46,17.51,"w","t","g","d","u"
"97","p",16.04,"f","o","f","w",17.39,17.19,"w","t","p","d","u"
"98","p",16.31,"f","e","f","w",17.15,17.05,"w","t","g","d","u"
"99","p",15.35,"f","o","f","w",17.89,18.21,"w","t","g","d","u"
"100","p",11.17,"x","o","f","w",16.44,16.12,"w","t","g","d","a"
"101","p",13.74,"x","e","f","w",16.7,15.79,"w","t","g","d","u"
"102","p",14.62,"f","e","f","w",16.07,17.02,"w","t","p","d","a"
"103","p",13.14,"f","o","f","w",16.99,18.05,"w","t","p","d","w"
"104","p",15.53,"x","o","f","w",18.06,17.37,"w","t","p","d","w"
"105","p",17.08,"x","o","f","w",17.79,18.79,"w","t","g","d","a"
"106","p",17.09,"x","o","f","w",19.19,18.89,"w","t","p","d","u"
"107","p",15.31,"x","o","f","w",16.19,17.04,"w","t","p","d","w"
"108","p",16.11,"f","e","f","w",17.91,17.88,"w","t","p","d","u"
"109","p",14.96,"x","o","f","w",17.92,17.51,"w","t","g","d","a"
"110","p",16.12,"x","e","f","w",17.98,16.93,"w","t","p","d","u"
"111","p",14.19,"f","o","f","w",17.83,18.3,"w","t","p","d","w"
"112","p",15.67,"x","o","f","w",19.25,19.52,"w","t","p","d","w"
"113","p",11.35,"x","e","f","w",16.96,15.39,"w","t","p","d","a"
"114","p",14.52,"x","o","f","w",17.04,17.57,"w","t","p","d","u"
"115","p",14.41,"f","o","f","w",17.1,16.96,"w","t","g","d","a"
"116","p",16.3,"f","e","f","w",18.25,16.66,"w","t","p","d","w"
"117","p",13.36,"x","o","f","w",17.26,17.08,"w","t","p","d","u"
"118","p",14.29,"x","o","f","w",17.87,18,"w","t","g","d","u"
"119","p",12.29,"x","o","f","w",16.84,16.26,"w","t","p","d","u"
"120","p",13.66,"f","o","f","w",17.73,17.29,"w","t","g","d","w"
"121","p",14.51,"f","e","f","w",16.7,15.98,"w","t","p","d","u"
"122","p",14.55,"f","e","f","w",16.94,17.9,"w","t","p","d","w"
"123","p",14.97,"f","e","f","w",18.45,17.51,"w","t","g","d","u"
"124","p",13.06,"x","o","f","w",15.72,16.19,"w","t","g","d","w"
"125","p",12.85,"x","o","f","w",17.35,16.64,"w","t","g","d","u"
"126","p",14,"f","e","f","w",16.57,16.04,"w","t","p","d","w"
"127","p",13.93,"f","e","f","w",16.65,16.86,"w","t","p","d","w"
"128","p",17.91,"f","o","f","w",17.63,18.15,"w","t","p","d","w"
"129","p",14.43,"f","e","f","w",17.41,18.24,"w","t","g","d","u"
"130","p",13.43,"f","e","f","w",16.13,16.25,"w","t","p","d","w"
"131","p",13.04,"f","o","f","w",17.99,17.49,"w","t","g","d","a"
"132","p",17.1,"x","e","f","w",18.96,18.94,"w","t","g","d","w"
"133","p",15.07,"f","e","f","w",18.33,18.88,"w","t","g","d","w"
"134","p",15.03,"f","e","f","w",18.81,18.36,"w","t","p","d","w"
"135","p",16.37,"f","e","f","w",17.96,18.69,"w","t","p","d","a"
"136","p",11.02,"f","o","f","w",15.98,16.02,"w","t","g","d","u"
"137","p",17.61,"f","e","f","w",18.35,17.91,"w","t","g","d","u"
"138","p",17.54,"f","o","f","w",18.2,17.76,"w","t","g","d","w"
"139","p",16.77,"x","o","f","w",18.02,19.96,"w","t","p","d","a"
"140","p",16.21,"f","o","f","w",17.29,17.29,"w","t","p","d","a"
"141","p",14.94,"x","e","f","w",17.5,18.26,"w","t","g","d","a"
"142","p",14.74,"f","o","f","w",18.42,18.5,"w","t","g","d","w"
"143","p",15.97,"x","o","f","w",16.42,16.89,"w","t","g","d","u"
"144","p",13.56,"x","e","f","w",17.3,17.96,"w","t","g","d","u"
"145","p",15.13,"x","e","f","w",18.75,18.33,"w","t","p","d","u"
"146","p",15.42,"f","o","f","w",18.34,18.24,"w","t","g","d","u"
"147","p",13.49,"x","o","f","w",17.6,17.44,"w","t","g","d","a"
"148","p",15.71,"f","e","f","w",17.91,18.23,"w","t","p","d","a"
"149","p",14.96,"f","e","f","w",17.96,17.37,"w","t","p","d","u"
"150","p",15.34,"f","o","f","w",17.74,18.62,"w","t","p","d","w"
"151","p",12.26,"x","o","f","w",18.14,17.58,"w","t","p","d","a"
"152","p",13.46,"f","o","f","w",16.92,15.3,"w","t","p","d","w"
"153","p",16.59,"f","o","f","w",18.93,18.51,"w","t","p","d","u"
"154","p",14.98,"x","e","f","w",17.35,17.7,"w","t","p","d","a"
"155","p",13.7,"f","e","f","w",17.04,17.74,"w","t","g","d","u"
"156","p",14.92,"x","e","f","w",18.07,17.02,"w","t","g","d","u"
"157","p",12,"f","e","f","w",15.9,16.23,"w","t","g","d","u"
"158","p",14.75,"f","e","f","w",16.76,17.24,"w","t","g","d","w"
"159","p",16.6,"f","e","f","w",18.46,18.38,"w","t","p","d","w"
"160","p",11.77,"x","o","f","w",16.96,15.57,"w","t","g","d","u"
"161","p",16.37,"f","o","f","w",18.21,18.8,"w","t","g","d","w"
"162","p",13.89,"f","e","f","w",17.83,17.66,"w","t","g","d","w"
"163","p",11.71,"f","e","f","w",16.47,16.1,"w","t","g","d","a"
"164","p",15.5,"f","o","f","w",17.92,18.09,"w","t","p","d","u"
"165","p",15.93,"x","e","f","w",16.86,16.9,"w","t","p","d","u"
"166","p",17.73,"f","e","f","w",19.19,18.16,"w","t","p","d","a"
"167","p",17.23,"f","e","f","w",17.45,17.79,"w","t","g","d","a"
"168","p",16.76,"f","o","f","w",18.81,18.35,"w","t","g","d","u"
"169","p",14.14,"x","o","f","w",16.89,17.97,"w","t","p","d","w"
"170","p",12.86,"x","o","f","w",16.4,16.98,"w","t","g","d","a"
"171","p",16.79,"f","o","f","w",18.81,18.09,"w","t","g","d","a"
"172","p",14.18,"f","e","f","w",17.87,18.2,"w","t","p","d","a"
"173","p",13.56,"x","e","f","w",17.14,16.74,"w","t","g","d","w"
"174","p",14.32,"x","e","f","w",16.45,15.77,"w","t","g","d","a"
"175","p",13.64,"x","e","f","w",16.74,16.93,"w","t","p","d","w"
"176","p",13.49,"x","o","f","w",16.73,17.51,"w","t","p","d","w"
"177","p",14.7,"x","e","f","w",16.84,16.67,"w","t","p","d","a"
"178","p",13.33,"f","o","f","w",19.25,18.76,"w","t","p","d","w"
"179","p",12.87,"f","e","f","w",16.52,17.5,"w","t","g","d","w"
"180","p",14.36,"x","e","f","w",17.87,17.87,"w","t","p","d","u"
"181","p",14.39,"f","e","f","w",17.55,17.24,"w","t","g","d","w"
"182","p",14.17,"x","e","f","w",17.47,17.07,"w","t","g","d","w"
"183","p",16.4,"f","o","f","w",17.92,17.83,"w","t","g","d","u"
"184","p",12.31,"f","e","f","w",17.02,16.01,"w","t","p","d","w"
"185","p",14.77,"x","e","f","w",16.61,17.06,"w","t","g","d","w"
"186","p",15.02,"f","e","f","w",16.89,17.26,"w","t","p","d","u"
"187","p",13.9,"x","o","f","w",18.1,17.7,"w","t","g","d","u"
"188","p",17.13,"x","e","f","w",16.46,16.83,"w","t","g","d","u"
"189","p",13.68,"f","o","f","w",18.22,17.47,"w","t","g","d","a"
"190","p",15,"x","e","f","w",18.12,17.13,"w","t","g","d","w"
"191","p",13.5,"x","e","f","w",15.51,15.17,"w","t","p","d","a"
"192","p",13.94,"x","e","f","w",17.65,17.49,"w","t","p","d","u"
"193","p",14.62,"f","e","f","w",17.41,17.65,"w","t","g","d","u"
"194","p",13.76,"f","o","f","w",17.89,17.87,"w","t","p","d","w"
"195","p",16.71,"x","e","f","w",17.87,17.29,"w","t","g","d","u"
"196","p",15.5,"x","e","f","w",17.83,18.79,"w","t","g","d","u"
"197","p",14.77,"x","e","f","w",16.72,16.51,"w","t","p","d","a"
"198","p",18.14,"x","o","f","w",18.49,19.13,"w","t","p","d","u"
"199","p",15.78,"x","o","f","w",18.71,18.83,"w","t","g","d","w"
"200","p",17.25,"x","o","f","w",17.71,18.05,"w","t","p","d","a"
"201","p",16.58,"f","o","f","w",18.74,18.32,"w","t","g","d","w"
"202","p",13.06,"x","e","f","w",18.18,19.12,"w","t","p","d","u"
"203","p",15.48,"x","o","f","w",16.79,16.48,"w","t","g","d","w"
"204","p",16.1,"f","o","f","w",17.66,17.28,"w","t","g","d","w"
"205","p",15.57,"x","e","f","w",18.51,18.18,"w","t","p","d","w"
"206","p",15.02,"x","o","f","w",16.27,16.81,"w","t","g","d","a"
"207","p",14.13,"x","e","f","w",17.28,16.55,"w","t","g","d","a"
"208","p",16.03,"f","o","f","w",18.22,18.37,"w","t","p","d","w"
"209","p",13.82,"x","o","f","w",15.69,15.73,"w","t","p","d","a"
"210","p",15.89,"x","o","f","w",17.82,18.03,"w","t","g","d","u"
"211","p",15,"f","o","f","w",18.14,18.2,"w","t","p","d","u"
"212","p",17.22,"f","e","f","w",18.26,18.23,"w","t","p","d","w"
"213","p",16.76,"x","o","f","w",16.78,16.07,"w","t","p","d","w"
"214","p",16.97,"x","o","f","w",17.37,16.59,"w","t","g","d","w"
"215","p",17.87,"f","e","f","w",19.03,18.39,"w","t","g","d","u"
"216","p",12.96,"f","e","f","w",16,16.6,"w","t","p","d","a"
"217","p",15.59,"x","o","f","w",18.76,18.58,"w","t","g","d","w"
"218","p",14.37,"x","e","f","w",18.04,17.27,"w","t","g","d","w"
"219","p",14.8,"x","e","f","w",18.13,17.66,"w","t","g","d","w"
"220","p",13.42,"f","o","f","w",17.86,17.84,"w","t","g","d","w"
"221","p",13.44,"f","e","f","w",16.74,16.54,"w","t","p","d","u"
"222","p",15.64,"x","o","f","w",18.05,17.33,"w","t","p","d","w"
"223","p",15.16,"x","o","f","w",17.94,17.35,"w","t","g","d","a"
"224","p",14.24,"f","o","f","w",16.7,17.07,"w","t","p","d","a"
"225","p",13.27,"x","e","f","w",17.5,17.83,"w","t","p","d","w"
"226","p",14.33,"x","o","f","w",17.27,17.45,"w","t","g","d","a"
"227","p",18.59,"x","o","f","w",18.3,18.82,"w","t","p","d","u"
"228","p",16.92,"x","e","f","w",18.35,18.14,"w","t","g","d","a"
"229","p",14.63,"f","o","f","w",16.62,15.93,"w","t","p","d","w"
"230","p",14.71,"f","e","f","w",18.65,17.98,"w","t","g","d","w"
"231","p",14.84,"x","e","f","w",18.23,18.18,"w","t","g","d","u"
"232","p",14.1,"f","o","f","w",16.49,17.92,"w","t","g","d","u"
"233","p",11.69,"f","e","f","w",17.18,17.11,"w","t","p","d","a"
"234","p",13.63,"f","e","f","w",17.04,16.96,"w","t","p","d","u"
"235","p",15.29,"f","e","f","w",17.75,16.37,"w","t","g","d","w"
"236","p",15.57,"x","e","f","w",18.24,18.41,"w","t","p","d","a"
"237","p",17.58,"x","o","f","w",16.86,17.49,"w","t","g","d","u"
"238","p",15.4,"f","e","f","w",16.93,17.25,"w","t","g","d","w"
"239","p",13.64,"f","e","f","w",16.64,17.59,"w","t","p","d","u"
"240","p",17.25,"x","e","f","w",17.8,17.3,"w","t","g","d","u"
"241","p",17.84,"f","o","f","w",18.83,18.54,"w","t","g","d","w"
"242","p",15.48,"x","e","f","w",17.41,17.4,"w","t","p","d","w"
"243","p",14.57,"f","o","f","w",18.08,18.49,"w","t","g","d","u"
"244","p",14.45,"x","e","f","w",17.63,17.66,"w","t","g","d","a"
"245","p",15.79,"f","e","f","w",18.85,18.13,"w","t","p","d","w"
"246","p",17.38,"x","o","f","w",19.27,18.81,"w","t","g","d","a"
"247","p",14.91,"f","o","f","w",18.38,16.07,"w","t","p","d","w"
"248","p",16.98,"f","o","f","w",17.16,16.65,"w","t","p","d","w"
"249","p",13.73,"f","o","f","w",16.38,16.97,"w","t","p","d","w"
"250","p",14.99,"f","o","f","w",17.19,16.21,"w","t","g","d","a"
"251","p",15.01,"x","o","f","w",18.01,17.33,"w","t","g","d","a"
"252","p",15.84,"x","o","f","w",18.54,18.47,"w","t","g","d","u"
"253","p",16.62,"x","o","f","w",18.54,18.01,"w","t","p","d","a"
"254","p",11.29,"f","o","f","w",16.6,16.69,"w","t","g","d","a"
"255","p",13.95,"f","o","f","w",17.08,15.9,"w","t","g","d","u"
"256","p",14.27,"x","e","f","w",17.35,16.87,"w","t","p","d","u"
"257","p",17.38,"f","o","f","w",17.53,18.3,"w","t","g","d","u"
"258","p",13.05,"x","o","f","w",17.87,17.76,"w","t","g","d","a"
"259","p",14.45,"f","e","f","w",17.43,17.44,"w","t","p","d","u"
"260","p",15.88,"f","o","f","w",17.73,19.16,"w","t","p","d","a"
"261","p",15.28,"f","o","f","w",17.97,17.87,"w","t","g","d","w"
"262","p",14.68,"x","o","f","w",16.19,16.4,"w","t","g","d","a"
"263","p",14.39,"f","e","f","w",16.99,16.08,"w","t","p","d","u"
"264","p",16.16,"f","o","f","w",17.93,17.41,"w","t","g","d","a"
"265","p",15.47,"f","e","f","w",17.56,18.38,"w","t","p","d","u"
"266","p",14.05,"x","o","f","w",16.85,17.07,"w","t","p","d","w"
"267","p",15.02,"f","o","f","w",16.62,16.6,"w","t","g","d","u"
"268","p",17.17,"x","o","f","w",18.52,18.04,"w","t","p","d","u"
"269","p",15.01,"f","o","f","w",17.62,17.39,"w","t","p","d","a"
"270","p",16.22,"x","o","f","w",18.56,18.15,"w","t","p","d","u"
"271","p",14.94,"f","e","f","w",16.6,16.85,"w","t","g","d","u"
"272","p",13.22,"f","o","f","w",17.72,16.43,"w","t","p","d","w"
"273","p",13.66,"x","o","f","w",16.81,16.98,"w","t","g","d","u"
"274","p",18.31,"f","o","f","w",19.29,18.94,"w","t","p","d","u"
"275","p",11.68,"f","o","f","w",17.31,16.62,"w","t","g","d","a"
"276","p",13.45,"f","o","f","w",15.84,16.16,"w","t","g","d","w"
"277","p",14.42,"x","e","f","w",17.03,16.57,"w","t","g","d","w"
"278","p",15.6,"f","e","f","w",18.06,18.83,"w","t","p","d","u"
"279","p",10.58,"x","o","f","w",16.33,15.53,"w","t","g","d","w"
"280","p",17.58,"x","e","f","w",19.35,19.66,"w","t","g","d","w"
"281","p",15.6,"x","o","f","w",17.83,16.89,"w","t","p","d","w"
"282","p",16.68,"x","e","f","w",17.19,17.11,"w","t","p","d","a"
"283","p",15.66,"f","o","f","w",18.24,18.33,"w","t","p","d","a"
"284","p",12.18,"f","o","f","w",16.56,16.18,"w","t","p","d","a"
"285","p",15.71,"f","e","f","w",18.02,17.98,"w","t","g","d","a"
"286","p",14.73,"x","e","f","w",16.95,17.14,"w","t","g","d","w"
"287","p",12.42,"f","e","f","w",18.01,17.71,"w","t","p","d","u"
"288","p",18.68,"x","o","f","w",18.63,19.09,"w","t","p","d","u"
"289","p",16.82,"f","o","f","w",17.78,18.03,"w","t","g","d","a"
"290","p",15.35,"f","e","f","w",17.27,17.54,"w","t","p","d","w"
"291","p",14.34,"f","o","f","w",16.02,15.99,"w","t","p","d","w"
"292","p",13.99,"x","e","f","w",15.42,15.85,"w","t","g","d","u"
"293","p",16.46,"f","o","f","w",17.29,16.9,"w","t","p","d","a"
"294","p",15.72,"f","e","f","w",17.88,16.98,"w","t","p","d","u"
"295","p",15.73,"x","o","f","w",18.6,17.93,"w","t","g","d","a"
"296","p",14.81,"x","e","f","w",18.52,18.29,"w","t","p","d","w"
"297","p",16.51,"x","e","f","w",17.86,17.96,"w","t","g","d","a"
"298","p",14.05,"x","e","f","w",17.88,17.45,"w","t","p","d","a"
"299","p",13.23,"f","e","f","w",16.41,16.39,"w","t","p","d","u"
"300","p",13.68,"x","e","f","w",18.15,18.21,"w","t","g","d","a"
"301","p",15.42,"f","e","f","w",18.08,17.78,"w","t","p","d","w"
"302","p",15.37,"f","o","f","w",17.01,17.29,"w","t","g","d","u"
"303","p",17.31,"x","e","f","w",16.94,18.47,"w","t","p","d","a"
"304","p",14.84,"f","o","f","w",16.79,18,"w","t","g","d","w"
"305","p",13.95,"f","o","f","w",17.11,16.94,"w","t","g","d","w"
"306","p",13.43,"f","e","f","w",16.88,17.61,"w","t","g","d","u"
"307","p",16.39,"x","e","f","w",18.94,18.58,"w","t","g","d","u"
"308","p",11.7,"x","o","f","w",16.01,16.33,"w","t","g","d","u"
"309","p",12.6,"x","o","f","w",17.81,15.5,"w","t","p","d","w"
"310","p",16.16,"f","o","f","w",16.73,16.79,"w","t","p","d","u"
"311","p",12.67,"x","o","f","w",15.68,15.29,"w","t","g","d","a"
"312","p",15.52,"x","o","f","w",16.95,17.44,"w","t","g","d","u"
"313","p",15.26,"x","o","f","w",18.99,18.03,"w","t","p","d","w"
"314","p",16.2,"x","e","f","w",17.39,17.53,"w","t","p","d","u"
"315","p",16.82,"f","e","f","w",17.81,16.9,"w","t","p","d","a"
"316","p",15.27,"f","e","f","w",17.17,16.97,"w","t","p","d","u"
"317","p",12.1,"f","o","f","w",16.25,17.06,"w","t","g","d","w"
"318","p",14.28,"x","e","f","w",17.77,17.12,"w","t","p","d","u"
"319","p",15.03,"f","o","f","w",16.71,16.74,"w","t","g","d","a"
"320","p",18.1,"x","e","f","w",18.35,18.7,"w","t","g","d","w"
"321","p",16.69,"f","o","f","w",17,17.45,"w","t","p","d","w"
"322","p",11.3,"x","o","f","w",15.69,16.34,"w","t","g","d","u"
"323","p",14.66,"f","e","f","w",16.73,15.27,"w","t","g","d","a"
"324","p",13.99,"f","e","f","w",16.71,16.23,"w","t","p","d","u"
"325","p",13.62,"f","e","f","w",17.6,17.3,"w","t","g","d","a"
"326","p",14.49,"f","e","f","w",16.77,17.22,"w","t","g","d","w"
"327","p",14.16,"x","e","f","w",16.44,17.34,"w","t","g","d","w"
"328","p",18.89,"x","o","f","w",18.23,17.94,"w","t","p","d","a"
"329","p",13.03,"x","o","f","w",16.72,16.85,"w","t","p","d","u"
"330","p",12.8,"x","e","f","w",16.48,16.24,"w","t","g","d","u"
"331","p",13.7,"x","e","f","w",17.84,17.91,"w","t","g","d","u"
"332","p",14.42,"x","o","f","w",18.2,18.06,"w","t","g","d","u"
"333","p",14.45,"x","o","f","w",17.44,17.25,"w","t","g","d","u"
"334","p",16.11,"f","e","f","w",17.95,18.61,"w","t","p","d","a"
"335","p",15.61,"x","e","f","w",17.62,17.79,"w","t","g","d","w"
"336","p",14.93,"x","o","f","w",17.71,18.23,"w","t","g","d","w"
"337","p",15.58,"f","e","f","w",18.14,17.96,"w","t","g","d","u"
"338","p",15.98,"x","e","f","w",18.08,18.66,"w","t","p","d","a"
"339","p",15.62,"f","o","f","w",18.48,17.75,"w","t","p","d","u"
"340","p",16.79,"x","e","f","w",17.98,16.76,"w","t","g","d","a"
"341","p",13.6,"f","o","f","w",16.32,16.09,"w","t","g","d","u"
"342","p",15.3,"f","e","f","w",19.02,18.84,"w","t","g","d","w"
"343","p",16.08,"f","o","f","w",17.33,18.09,"w","t","g","d","a"
"344","p",13.43,"x","e","f","w",17.1,17.25,"w","t","p","d","w"
"345","p",16.24,"x","o","f","w",17.45,17.78,"w","t","p","d","a"
"346","p",16.78,"f","o","f","w",17.81,17.92,"w","t","g","d","u"
"347","p",16.26,"f","o","f","w",17.31,17.3,"w","t","g","d","a"
"348","p",12.59,"x","e","f","w",15.47,15.77,"w","t","p","d","w"
"349","p",16.68,"x","e","f","w",19.01,17.55,"w","t","p","d","a"
"350","p",14.89,"f","o","f","w",18.57,17.73,"w","t","g","d","a"
"351","p",14.72,"x","o","f","w",17.66,18.03,"w","t","g","d","w"
"352","p",13.59,"x","o","f","w",17.57,18.17,"w","t","g","d","w"
"353","p",16.07,"x","o","f","w",17.23,17.76,"w","t","p","d","u"
"354","p",6.87,"x","n","f","w",6.88,13.64,"w","t","p","d","a"
"355","p",8.59,"p","n","f","w",9.15,17.34,"w","t","p","d","a"
"356","p",5.95,"p","n","f","w",7.54,12.73,"w","t","p","d","u"
"357","p",6.51,"x","n","f","w",6.8,12.92,"w","t","p","d","a"
"358","p",7.66,"x","n","f","w",8.55,14.98,"w","t","p","d","a"
"359","p",6.4,"x","n","f","w",7.68,14.68,"w","t","p","d","u"
"360","p",7.06,"p","n","f","w",7.26,12.03,"w","t","p","d","u"
"361","p",6.32,"x","n","f","w",7.66,15.84,"w","t","p","d","a"
"362","p",8.8,"x","n","f","w",8.44,16.56,"w","t","p","d","u"
"363","p",7.5,"p","n","f","w",6.37,11.75,"w","t","p","d","u"
"364","p",6.44,"p","n","f","w",7.61,13.59,"w","t","p","d","u"
"365","p",6.64,"p","n","f","w",7.14,12.48,"w","t","p","d","a"
